index,Kolkata Knight Riders,Royal Challengers Bangalore,Delhi Daredevils,Chennai Super Kings,Kings XI Punjab,Rajasthan Royals,Mumbai Indians,Deccan Chargers,Kochi Tuskers Kerala,Pune Warriors,Sunrisers Hyderabad,Rising Pune Supergiants,Gujarat Lions
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,6,2,3,4,5,NA,NA,NA,NA,NA,NA,NA
3,1,4,2,3,7,8,5,6,NA,NA,NA,NA,NA
4,1,5,2,3,8,4,6,7,NA,NA,NA,NA,NA
5,1,5,2,3,7,4,6,8,NA,NA,NA,NA,NA
6,1,5,2,3,7,4,6,8,NA,NA,NA,NA,NA
7,1,5,2,3,8,4,6,7,NA,NA,NA,NA,NA
8,1,6,2,3,5,4,7,8,NA,NA,NA,NA,NA
9,4,6,3,1,5,2,7,8,NA,NA,NA,NA,NA
10,3,7,4,1,5,2,8,6,NA,NA,NA,NA,NA
11,3,7,4,1,5,2,8,6,NA,NA,NA,NA,NA
12,4,8,3,1,5,2,7,6,NA,NA,NA,NA,NA
13,4,8,2,1,5,3,7,6,NA,NA,NA,NA,NA
14,5,8,3,1,4,2,7,6,NA,NA,NA,NA,NA
15,5,8,1,2,4,3,7,6,NA,NA,NA,NA,NA
16,5,6,1,2,4,3,8,7,NA,NA,NA,NA,NA
17,5,7,2,4,3,1,6,8,NA,NA,NA,NA,NA
18,5,7,3,4,2,1,6,8,NA,NA,NA,NA,NA
19,5,8,3,4,2,1,7,6,NA,NA,NA,NA,NA
20,6,8,3,4,1,2,5,7,NA,NA,NA,NA,NA
21,5,8,4,3,1,2,6,7,NA,NA,NA,NA,NA
22,5,8,4,3,2,1,6,7,NA,NA,NA,NA,NA
23,5,8,4,2,3,1,6,7,NA,NA,NA,NA,NA
24,4,8,5,2,3,1,6,7,NA,NA,NA,NA,NA
25,4,8,5,3,2,1,6,7,NA,NA,NA,NA,NA
26,4,8,5,3,2,1,6,7,NA,NA,NA,NA,NA
27,4,8,5,3,2,1,6,7,NA,NA,NA,NA,NA
28,4,8,5,3,2,1,6,7,NA,NA,NA,NA,NA
29,6,8,5,3,2,1,4,7,NA,NA,NA,NA,NA
30,6,8,5,3,2,1,4,7,NA,NA,NA,NA,NA
31,6,8,5,3,2,1,4,7,NA,NA,NA,NA,NA
32,6,8,5,3,2,1,4,7,NA,NA,NA,NA,NA
33,6,8,5,3,2,1,4,7,NA,NA,NA,NA,NA
34,6,7,5,3,2,1,4,8,NA,NA,NA,NA,NA
35,6,7,4,3,2,1,5,8,NA,NA,NA,NA,NA
36,6,7,4,3,2,1,5,8,NA,NA,NA,NA,NA
37,6,7,3,4,2,1,5,8,NA,NA,NA,NA,NA
38,5,7,3,4,2,1,6,8,NA,NA,NA,NA,NA
39,5,7,3,4,2,1,6,8,NA,NA,NA,NA,NA
40,5,7,4,3,2,1,6,8,NA,NA,NA,NA,NA
41,6,7,4,3,2,1,5,8,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,1,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA
44,6,1,2,5,7,8,4,3,NA,NA,NA,NA,NA
45,6,5,1,3,7,8,4,2,NA,NA,NA,NA,NA
46,6,5,2,4,8,7,1,3,NA,NA,NA,NA,NA
47,6,5,3,4,8,7,2,1,NA,NA,NA,NA,NA
48,7,6,2,5,8,4,3,1,NA,NA,NA,NA,NA
49,8,7,2,5,6,4,3,1,NA,NA,NA,NA,NA
50,5,8,2,3,7,6,4,1,NA,NA,NA,NA,NA
51,6,8,2,4,3,7,5,1,NA,NA,NA,NA,NA
52,7,8,2,5,4,6,3,1,NA,NA,NA,NA,NA
53,7,8,2,6,5,4,3,1,NA,NA,NA,NA,NA
54,8,6,3,7,2,5,4,1,NA,NA,NA,NA,NA
55,8,7,2,5,3,6,4,1,NA,NA,NA,NA,NA
56,8,5,2,6,4,7,3,1,NA,NA,NA,NA,NA
57,8,7,2,4,6,5,3,1,NA,NA,NA,NA,NA
58,8,4,3,5,2,7,6,1,NA,NA,NA,NA,NA
59,8,5,3,1,2,7,6,4,NA,NA,NA,NA,NA
60,8,5,1,2,6,3,7,4,NA,NA,NA,NA,NA
61,8,5,1,3,6,4,7,2,NA,NA,NA,NA,NA
62,8,5,3,1,6,2,7,4,NA,NA,NA,NA,NA
63,8,5,1,2,6,3,7,4,NA,NA,NA,NA,NA
64,8,6,2,1,5,3,7,4,NA,NA,NA,NA,NA
65,8,7,1,2,5,3,6,4,NA,NA,NA,NA,NA
66,8,7,1,2,5,4,6,3,NA,NA,NA,NA,NA
67,8,6,1,2,7,5,4,3,NA,NA,NA,NA,NA
68,8,6,1,2,7,5,4,3,NA,NA,NA,NA,NA
69,8,5,1,2,7,3,6,4,NA,NA,NA,NA,NA
70,8,5,1,2,6,3,7,4,NA,NA,NA,NA,NA
71,8,5,1,2,6,4,7,3,NA,NA,NA,NA,NA
72,8,6,1,2,4,5,7,3,NA,NA,NA,NA,NA
73,8,6,1,2,4,5,7,3,NA,NA,NA,NA,NA
74,8,4,1,2,5,6,7,3,NA,NA,NA,NA,NA
75,8,4,1,2,5,6,7,3,NA,NA,NA,NA,NA
76,8,3,1,2,5,6,7,4,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
79,1,NA,2,NA,5,4,3,6,NA,NA,NA,NA,NA
80,1,7,3,8,6,5,4,2,NA,NA,NA,NA,NA
81,2,6,1,8,5,7,4,3,NA,NA,NA,NA,NA
82,2,6,1,3,7,8,5,4,NA,NA,NA,NA,NA
83,2,6,3,4,7,8,1,5,NA,NA,NA,NA,NA
84,3,2,4,5,7,8,1,6,NA,NA,NA,NA,NA
85,5,2,6,3,7,8,1,4,NA,NA,NA,NA,NA
86,5,1,6,3,8,7,2,4,NA,NA,NA,NA,NA
87,5,1,6,4,7,8,3,2,NA,NA,NA,NA,NA
88,5,2,6,4,7,8,1,3,NA,NA,NA,NA,NA
89,5,1,6,4,7,8,2,3,NA,NA,NA,NA,NA
90,6,1,7,4,8,5,2,3,NA,NA,NA,NA,NA
91,7,2,4,5,8,6,1,3,NA,NA,NA,NA,NA
92,7,2,5,6,8,3,1,4,NA,NA,NA,NA,NA
93,5,2,6,7,8,3,1,4,NA,NA,NA,NA,NA
94,5,2,6,7,8,3,1,4,NA,NA,NA,NA,NA
95,6,2,4,7,8,3,1,5,NA,NA,NA,NA,NA
96,6,2,4,7,8,3,1,5,NA,NA,NA,NA,NA
97,7,3,2,5,8,4,1,6,NA,NA,NA,NA,NA
98,5,3,2,6,8,4,1,7,NA,NA,NA,NA,NA
99,5,2,3,6,8,4,1,7,NA,NA,NA,NA,NA
100,5,2,3,4,8,6,1,7,NA,NA,NA,NA,NA
101,5,3,2,4,8,6,1,7,NA,NA,NA,NA,NA
102,6,3,2,5,8,4,1,7,NA,NA,NA,NA,NA
103,6,3,2,4,8,5,1,7,NA,NA,NA,NA,NA
104,6,4,2,5,8,3,1,7,NA,NA,NA,NA,NA
105,6,4,2,5,8,3,1,7,NA,NA,NA,NA,NA
106,6,4,2,5,8,3,1,7,NA,NA,NA,NA,NA
107,6,2,3,5,8,4,1,7,NA,NA,NA,NA,NA
108,6,2,3,5,8,4,1,7,NA,NA,NA,NA,NA
109,7,2,3,6,8,4,1,5,NA,NA,NA,NA,NA
110,7,3,4,2,8,5,1,6,NA,NA,NA,NA,NA
111,7,2,4,3,8,5,1,6,NA,NA,NA,NA,NA
112,7,2,3,4,8,5,1,6,NA,NA,NA,NA,NA
113,7,2,3,5,8,6,1,4,NA,NA,NA,NA,NA
114,6,2,3,5,8,7,1,4,NA,NA,NA,NA,NA
115,6,4,5,3,8,7,1,2,NA,NA,NA,NA,NA
116,6,4,5,3,8,7,1,2,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,4,2,NA,3,NA,1,NA,6,5,NA,NA,NA,NA
120,6,4,9,5,10,3,2,8,7,1,NA,NA,NA
121,5,4,9,6,10,3,2,7,8,1,NA,NA,NA
122,4,6,9,5,10,2,1,7,8,3,NA,NA,NA
123,4,5,10,6,7,3,2,8,9,1,NA,NA,NA
124,5,7,10,6,8,3,2,4,9,1,NA,NA,NA
125,3,8,10,7,9,4,2,5,6,1,NA,NA,NA
126,3,9,10,5,6,4,2,7,8,1,NA,NA,NA
127,1,10,9,4,6,5,3,7,8,2,NA,NA,NA
128,1,10,9,5,7,6,3,8,4,2,NA,NA,NA
129,1,9,10,7,8,2,4,5,6,3,NA,NA,NA
130,1,9,10,7,8,4,2,6,3,5,NA,NA,NA
131,1,9,10,8,3,5,2,7,4,6,NA,NA,NA
132,2,5,10,9,3,6,1,8,4,7,NA,NA,NA
133,2,5,10,9,4,6,1,8,3,7,NA,NA,NA
134,3,6,9,8,4,2,1,10,5,7,NA,NA,NA
135,3,7,9,4,5,2,1,10,6,8,NA,NA,NA
136,4,2,9,5,6,3,1,10,7,8,NA,NA,NA
137,5,3,10,2,7,4,1,6,8,9,NA,NA,NA
138,2,4,10,3,7,5,1,6,8,9,NA,NA,NA
139,4,2,10,5,7,3,1,6,8,9,NA,NA,NA
140,1,3,7,5,8,4,2,6,9,10,NA,NA,NA
141,2,5,7,4,8,1,3,6,9,10,NA,NA,NA
142,3,5,8,4,9,2,1,7,6,10,NA,NA,NA
143,1,5,8,4,9,3,2,7,6,10,NA,NA,NA
144,2,5,8,3,9,4,1,7,6,10,NA,NA,NA
145,2,6,7,3,9,4,1,8,5,10,NA,NA,NA
146,2,4,7,3,9,5,1,8,6,10,NA,NA,NA
147,2,4,7,3,9,5,1,8,6,10,NA,NA,NA
148,2,3,7,4,10,5,1,9,6,8,NA,NA,NA
149,3,4,7,2,10,5,1,9,6,8,NA,NA,NA
150,3,4,8,2,9,5,1,10,6,7,NA,NA,NA
151,4,2,8,3,9,5,1,10,6,7,NA,NA,NA
152,4,3,8,1,9,5,2,10,6,7,NA,NA,NA
153,4,3,9,1,6,5,2,10,7,8,NA,NA,NA
154,4,1,10,2,6,5,3,9,7,8,NA,NA,NA
155,4,1,10,2,5,7,3,9,6,8,NA,NA,NA
156,4,1,10,2,5,7,3,8,6,9,NA,NA,NA
157,4,1,10,2,5,7,3,8,6,9,NA,NA,NA
158,4,2,10,1,5,7,3,8,6,9,NA,NA,NA
159,3,2,10,1,5,7,4,8,6,9,NA,NA,NA
160,3,2,10,1,5,6,4,8,7,9,NA,NA,NA
161,3,2,10,1,5,6,4,7,8,9,NA,NA,NA
162,4,1,10,2,5,6,3,7,8,9,NA,NA,NA
163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
165,3,NA,2,4,NA,NA,1,NA,NA,NA,NA,NA,NA
166,5,NA,3,6,7,1,4,NA,NA,2,NA,NA,NA
167,7,4,6,3,8,1,5,9,NA,2,NA,NA,NA
168,7,4,6,3,8,1,5,9,NA,2,NA,NA,NA
169,7,5,6,4,8,1,3,9,NA,2,NA,NA,NA
170,5,7,3,6,8,1,4,9,NA,2,NA,NA,NA
171,5,7,3,6,8,4,1,9,NA,2,NA,NA,NA
172,6,7,2,5,8,4,1,9,NA,3,NA,NA,NA
173,4,7,2,6,8,5,1,9,NA,3,NA,NA,NA
174,4,7,3,6,8,5,2,9,NA,1,NA,NA,NA
175,5,8,4,6,7,1,3,9,NA,2,NA,NA,NA
176,5,8,1,6,7,2,4,9,NA,3,NA,NA,NA
177,5,8,2,6,7,1,4,9,NA,3,NA,NA,NA
178,3,8,2,6,7,1,5,9,NA,4,NA,NA,NA
179,3,8,1,5,7,2,6,9,NA,4,NA,NA,NA
180,3,7,1,5,8,2,6,9,NA,4,NA,NA,NA
181,5,7,1,4,8,2,6,9,NA,3,NA,NA,NA
182,3,8,1,5,7,2,6,9,NA,4,NA,NA,NA
183,2,6,1,5,8,4,7,9,NA,3,NA,NA,NA
184,2,6,1,5,8,3,7,9,NA,4,NA,NA,NA
185,2,4,1,3,8,5,7,9,NA,6,NA,NA,NA
186,2,4,1,3,8,5,7,9,NA,6,NA,NA,NA
187,2,4,1,3,8,5,7,9,NA,6,NA,NA,NA
188,2,4,1,3,8,5,7,9,NA,6,NA,NA,NA
189,2,5,1,4,8,6,3,9,NA,7,NA,NA,NA
190,2,5,1,4,8,6,3,9,NA,7,NA,NA,NA
191,2,5,1,4,8,6,3,9,NA,7,NA,NA,NA
192,2,6,1,5,4,7,3,9,NA,8,NA,NA,NA
193,2,6,1,5,4,7,3,9,NA,8,NA,NA,NA
194,2,6,1,4,5,7,3,9,NA,8,NA,NA,NA
195,2,7,1,4,6,5,3,9,NA,8,NA,NA,NA
196,2,5,1,4,7,6,3,9,NA,8,NA,NA,NA
197,1,5,2,4,7,6,3,9,NA,8,NA,NA,NA
198,1,7,2,6,5,4,3,9,NA,8,NA,NA,NA
199,1,4,2,7,6,5,3,9,NA,8,NA,NA,NA
200,2,5,1,4,7,6,3,9,NA,8,NA,NA,NA
201,2,3,1,5,7,6,4,9,NA,8,NA,NA,NA
202,2,5,1,4,7,6,3,9,NA,8,NA,NA,NA
203,2,5,1,4,7,6,3,9,NA,8,NA,NA,NA
204,3,5,1,4,7,6,2,9,NA,8,NA,NA,NA
205,3,5,1,4,7,6,2,9,NA,8,NA,NA,NA
206,2,5,1,4,7,6,3,9,NA,8,NA,NA,NA
207,2,5,1,4,6,7,3,9,NA,8,NA,NA,NA
208,2,5,1,4,6,7,3,9,NA,8,NA,NA,NA
209,2,5,1,4,6,7,3,9,NA,8,NA,NA,NA
210,2,5,1,4,6,7,3,8,NA,9,NA,NA,NA
211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,1,2,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
214,2,3,5,NA,NA,NA,4,NA,NA,6,1,NA,NA
215,2,5,6,7,NA,3,4,NA,NA,8,1,NA,NA
216,3,6,7,8,2,4,5,NA,NA,9,1,NA,NA
217,6,5,7,8,3,1,4,NA,NA,9,2,NA,NA
218,6,3,8,7,5,2,1,NA,NA,9,4,NA,NA
219,7,3,8,6,5,2,1,NA,NA,9,4,NA,NA
220,7,1,9,6,5,3,2,NA,NA,8,4,NA,NA
221,7,1,9,6,5,4,3,NA,NA,8,2,NA,NA
222,7,2,9,4,6,5,1,NA,NA,8,3,NA,NA
223,6,2,9,5,7,3,1,NA,NA,8,4,NA,NA
224,5,2,9,6,8,3,1,NA,NA,7,4,NA,NA
